機能,区分一,区分二,区分三,正常/異常,テスト技法,入力,操作方法,期待値,自動テスト,担当者名,備考
接続機能,SFTP接続,鍵認証,パスフレーズ付き鍵,正常系,同値分割,"パスフレーズ付き秘密鍵 + 正しいPrivateKeyPassphrase","put方向で起動する","パスフレーズで鍵を復号し接続成功。",,,"実機確認"
接続機能,SFTP接続,鍵認証,パスフレーズ誤り,異常系,同値分割,"パスフレーズ付き秘密鍵 + 誤ったPrivateKeyPassphrase","put方向で起動する","鍵の読込に失敗し接続できず終了コード1。",,,"実機確認"
接続機能,SFTP接続,認証情報,Passwordと鍵が両方未設定,異常系,デシジョンテーブル,"Mode=sftp / Password空 かつ PrivateKeyPath空","アプリを起動する","起動時バリデーションで『SFTPはPasswordまたはPrivateKeyPathが必要』エラー。終了コード1。",○,,"SFTPの認証要件の判定"
接続機能,SFTP接続,ホスト鍵検証,指紋一致(SHA256),正常系,同値分割,"正しいHostKeyFingerprint（SHA256:形式、ssh-keygen -lf の出力）","put方向で起動する","受信したホスト鍵指紋が一致し、接続を信頼して継続。ログに指紋検証成功が出る。",○,,"要Docker"
接続機能,SFTP接続,ホスト鍵検証,指紋不一致(SHA256),異常系,同値分割,"誤ったSHA256指紋を設定","put方向で起動する","ホスト鍵指紋が一致せず接続を拒否（MITM対策）。終了コード1。",○,,"要Docker"
接続機能,SFTP接続,ホスト鍵検証,指紋一致(MD5),正常系,同値分割,"正しいMD5 16進指紋（コロン区切り可）を設定","put方向で起動する","後方互換のMD5指紋として照合し一致、接続成功。",○,,"要Docker"
接続機能,SFTP接続,ホスト鍵検証,未設定,正常系,境界値分析,"HostKeyFingerprintを空にする","put方向で起動する","『指紋未設定のため検証をスキップし鍵を信頼する』警告（受信指紋を表示）を出し接続継続。",○,,"検証スキップ境界。本番では設定推奨"
接続機能,SFTP接続,ポート整合性,SFTPでFTP標準ポート,正常系,デシジョンテーブル,"Mode=sftp / Port=21","アプリを起動する","『sftpなのにPort21（FTP既定）』の警告を表示して継続（誤設定の気付き支援）。",○,,
接続機能,接続再利用,KeepAlive,アイドル維持,正常系,同値分割,"KeepAliveSeconds=30 / 接続を跨いで複数ファイル転送","put方向で起動する","アイドルでサーバに切断されず、SFTPはKeepAliveInterval、FTPはNOOP+TCP KeepAliveで接続を維持して連続転送する。",,,"実機確認（長時間アイドルの再現が必要）"
転送機能(put),単一ファイル,通常転送,正常アップロード,正常系,同値分割,"Watch.Pathに.txtを1件 / Direction=put","put方向で起動する","一時名（.tmp.<GUID>）でアップロード後に本番名へリネームし、リモートにファイルが作成される。終了コード0。",○,,"アトミック転送の基本"
転送機能(put),単一ファイル,アトミック性,一時ファイル経由,正常系,状態遷移,"Watch.Pathに1件","put実行中にリモートの一時ファイル名を観察する","転送中は.tmp名で存在し、完了時に本番名へ切り替わる。途中状態の本番名ファイル（壊れた中間物）は外部から見えない。",○,,
転送機能(put),単一ファイル,アトミック性,リネーム失敗の後始末,異常系,エラー推測,"リネームが失敗する状況（権限/同名ロック等）","put実行する","残ったリモートの一時ファイルを削除し例外を送出する（ゴミが蓄積しない）。",○,,
転送機能(put),単一ファイル,0バイト,空ファイル転送,正常系,境界値分析,"0バイトの.txt","put実行する","空ファイルでもエラーにならず正しく転送される。",○,,"サイズ下限の境界"
転送機能(put),単一ファイル,1バイト,最小データ,正常系,境界値分析,"1バイトの.txt","put実行する","1バイトでも正常に転送・検証される。",○,,"0の隣接境界"
転送機能(put),単一ファイル,大容量,大ファイル転送,正常系,境界値分析,"数百MB〜GBの.txt / TimeoutSecondsを十分大きく","put実行する","タイムアウトせず転送が完了し、ハッシュ検証も成功する。",,,"実機/性能（大容量の用意が必要）"
転送機能(put),複数ファイル,複数転送,全件成功,正常系,同値分割,"Watch.Pathに複数件","put実行する","全ファイルが転送され、全件成功で終了コード0。",○,,
転送機能(put),複数ファイル,部分失敗,1件失敗でも継続,異常系,同値分割,"複数件のうち1件だけ転送不可（例 ロック中）","put実行する","失敗した1件以外は転送が継続する。失敗分のみエラー記録、終了コード1。成功分のローカルは（DeleteAfterVerify=trueなら）削除、失敗分は保持。",○,,"ワーカー例外隔離"
転送機能(put),失敗時保持,削除抑止,アップロード失敗,異常系,デシジョンテーブル,"DeleteAfterVerify=true / 転送が失敗する","put実行する","転送に失敗したファイルはローカル削除されず残る（次回再送のため）。終了コード1。",○,,"★誤削除防止: 失敗時は消さない"
転送機能(put),失敗時保持,再送成功で削除,次回実行,正常系,状態遷移,"前回失敗で残ったファイル / 今回は転送成功する","再度put実行する","今回は転送に成功し、成功後にローカル削除される（成功して初めて消える）。",○,,"★失敗→保持→成功→削除の遷移"
転送機能(put),対象なし,空フォルダ,対象0件,正常系,境界値分析,"Watch.Pathに対象拡張子のファイルが0件","put実行する","何も転送せず正常終了。終了コード0。ObjectDisposed等の内部エラーが出ない。",○,,"0件境界"
転送機能(put),ディレクトリ,watch不在,フォルダなし,異常系,同値分割,"存在しないWatch.Path","アプリを起動する","起動時バリデーションで『監視ディレクトリが存在しない』エラー。終了コード1。",○,,
転送機能(put),ディレクトリ,権限,読取権限なし,異常系,エラー推測,"読取権限のないWatch.Path","アプリを起動する","読取権限の警告、または列挙時のアクセスエラーで失敗。終了コード1。ファイルは消えない。",,,"実機確認（権限設定が必要）"
転送機能(put),上書き,リモート既存,同名ファイル,正常系,同値分割,"リモートに同名ファイルが既存","put実行する","一時名→本番名のリネームで上書きされる（既存が消える瞬間を作らずに置換）。",,,"実機確認"
転送機能(put),リモートパス,ディレクトリ自動作成,親が不在,正常系,同値分割,"RemotePathの親ディレクトリがリモートに存在しない","put実行する","必要なリモートディレクトリを自動作成してから転送する。",,,"実機確認"
転送機能(get),単一ファイル,通常DL,正常ダウンロード,正常系,同値分割,"リモートに1件 / Direction=get","get方向で起動する","一時名経由でローカルに保存される。終了コード0。",○,,
転送機能(get),複数ファイル,複数DL,全件成功,正常系,同値分割,"リモートに複数件","get実行する","全ファイルがローカルに保存される。",○,,
転送機能(get),対象なし,空,対象0件,正常系,境界値分析,"リモートに対象ファイルが0件","get実行する","何もせず正常終了。終了コード0。",○,,"0件境界"
転送機能(get),リモートパス,不在,RemotePath不在,異常系,同値分割,"存在しないRemotePath","get実行する","ディレクトリ不在エラー。終了コード1。（FTPは空応答を不在として明示検出）",○,,
転送機能(get),ファイル名安全性,パストラバーサル,不正名,異常系,同値分割,"リモートが返すファイル名に ../ 等が含まれる","get実行する","Watch.Path外への書き込みを企てる危険パスをセグメント単位で検出し拒否する。",○,,"★誤った場所への保存を防ぐ"
転送機能(get),保存先,ディレクトリ作成,サブ構造保持時,正常系,同値分割,"PreserveFolderStructure=true / リモートにサブフォルダ","get実行する","不在のローカルサブフォルダを作成してから保存する。",○,,
転送機能(get),上書き,ローカル既存,同名ファイル,正常系,同値分割,"ローカルに同名ファイルが既存","get実行する","一時名経由で上書き保存される。",○,,
ハッシュ検証,検証有効,一致,ハッシュ一致(put),正常系,同値分割,"Hash.Enabled=true / Algorithm=SHA256","put実行する","アップロード後にローカルとリモートのハッシュを比較し、一致して成功（整合性確認）。",○,,
ハッシュ検証,検証有効,不一致,ハッシュ不一致(put),異常系,デシジョンテーブル,"転送中に内容が破損しローカルとリモートのハッシュが食い違う","put実行する","不一致を検出し、これは一過性破損の可能性があるためリトライ対象。リトライ後も不一致なら失敗、終了コード1。ローカルファイルは削除されず保持される。",○,,"★誤削除防止: 検証失敗時は消さない"
ハッシュ検証,検証有効,一致,ハッシュ一致(get),正常系,同値分割,"Hash.Enabled=true","get実行する","ダウンロード後にハッシュ一致を確認して成功。",○,,
ハッシュ検証,検証有効,不一致,ハッシュ不一致(get),異常系,同値分割,"ダウンロード内容が破損 / ローカルに同名既存ファイルあり","get実行する","不一致を検出しリトライ後に失敗。終了コード1。本番保存先には破損内容を残さず、既存ローカルファイルは保持される。",○,,"★破損ファイル公開防止"
ハッシュ検証,検証無効,スキップ,検証なし転送,正常系,デシジョンテーブル,"Hash.Enabled=false","put実行する","リモートハッシュ取得通信を省略して転送のみ実施し成功（通信量が約半分）。",○,,
ハッシュ検証,検証無効,削除併用,Hash無効+DeleteAfterVerify,正常系,デシジョンテーブル,"Hash.Enabled=false / DeleteAfterVerify=true","put実行する","ハッシュ検証なしでも転送（一時名→本番名）成功後にローカル削除される。エラーにならず併用可能。",○,,
ハッシュ検証,アルゴリズム,SHA256,既定,正常系,同値分割,"Algorithm=SHA256","put実行する","SHA256で検証成功。",○,,
ハッシュ検証,アルゴリズム,SHA512,指定,正常系,同値分割,"Algorithm=SHA512","put実行する","SHA512で検証成功。",○,,
ハッシュ検証,アルゴリズム,MD5,使用不可,異常系,同値分割,"Algorithm=MD5","アプリを起動する","MD5は脆弱なため起動時バリデーション（正規表現）でエラー。終了コード1。",○,,"許容はSHA256/SHA512のみ"
ハッシュ検証,サーバーコマンド,FTP試行,UseServerCommand=true,正常系,デシジョンテーブル,"Mode=ftp / Hash有効 / UseServerCommand=true","put実行する","サーバーサイドハッシュコマンドを試行し、非対応や失敗時はローカル計算へフォールバックする。",○,,
ハッシュ検証,サーバーコマンド,SFTP無視,SFTPでの扱い,正常系,デシジョンテーブル,"Mode=sftp / Hash有効 / UseServerCommand=true","put実行する","SFTPはサーバーハッシュ非対応のため無視し、ローカル計算で検証。起動時にも警告を表示。",○,,
リトライ機能,リトライ対象,ネットワーク,一時的ネット断,異常系,同値分割,"転送中に一時的なネットワーク断（SocketException等）","put実行する","リトライ対象と判定し、指数バックオフで再試行。回復すれば成功する。",○,,
リトライ機能,リトライ対象,タイムアウト,一時タイムアウト,異常系,同値分割,"一時的な無応答（Timeout）","put実行する","再試行で回復し得る。",○,,
リトライ機能,リトライ対象,ハッシュ不一致,一過性破損,異常系,同値分割,"一過性のハッシュ不一致","put実行する","再試行で回復し得る（転送やり直しで一致）。",○,,
リトライ機能,リトライ対象,ファイルロック,一時ロック,異常系,同値分割,"共有違反/ロック違反（ERROR_SHARING_VIOLATION等）","put実行する","一時的なファイルロックはリトライ対象として再試行で回復。",○,,
リトライ機能,リトライ非対象,認証エラー,即失敗,異常系,同値分割,"認証情報誤り","put実行する","認証エラーは恒久要因のためリトライせず即失敗。終了コード1。",○,,
リトライ機能,リトライ非対象,設定/権限エラー,即失敗,異常系,同値分割,"引数/設定不正、UnauthorizedAccess等","put実行する","設定・権限系はリトライせず即失敗（無駄な再試行をしない）。",○,,
リトライ機能,リトライ非対象,FTP応答5xx,恒久拒否,異常系,同値分割,"FTPサーバが5xx（恒久的拒否）を返す","put実行する","応答コード優先判定により5xxはリトライ非対象として即失敗。4xx（一時拒否）はリトライ対象。",○,,"言語非依存の応答コードで判定"
リトライ機能,上限,回数打切り,MaxAttempts到達,異常系,境界値分析,"恒久的に失敗する転送 / MaxAttempts=3","put実行する","初回+3回（計4回試行）で打ち切り、最終エラー。終了コード1。",○,,"リトライ回数の上限境界"
リトライ機能,上限,回数0,リトライなし,異常系,境界値分析,"MaxAttempts=0 / 失敗する転送","put実行する","リトライせず1回の試行で失敗する。",○,,"下限境界"
リトライ機能,バックオフ,間隔,指数増加,正常系,境界値分析,"DelaySeconds=5","put実行する","再試行間隔が5→10→20秒と指数的に増加する。",○,,
リトライ機能,バックオフ,上限,300秒キャップ,正常系,境界値分析,"大きいDelaySeconds/MaxAttempts","put実行する","待機が上限300秒を超えない（オーバーフローしない）。",○,,"上限キャップの境界"
並列処理,並列度,逐次,Concurrency=1,正常系,境界値分析,"Concurrency=1 / 複数ファイル","put実行する","1件ずつ順に転送される。",○,,"並列度の最小境界"
並列処理,並列度,並行,Concurrency=4,正常系,同値分割,"Concurrency=4 / 複数ファイル","put実行する","最大4件が同時に転送され、全件成功する。",○,,
並列処理,並列度,境界下限,Concurrency=0,異常系,境界値分析,"Concurrency=0","アプリを起動する","範囲外として起動時バリデーションでエラー。終了コード1。",○,,"許容下限1の直下"
並列処理,並列度,境界上限,Concurrency=16,正常系,境界値分析,"Concurrency=16 / 複数ファイル","put実行する","16並列で転送される（許容上限）。",○,,"許容上限"
並列処理,並列度,境界超過,Concurrency=17,異常系,境界値分析,"Concurrency=17","アプリを起動する","範囲外として起動時バリデーションでエラー。終了コード1。",○,,"許容上限16の直上"
並列処理,重複防止,二重処理,同一アイテム,正常系,同値分割,"同一ファイルが複数回キューに入る状況 / 複数ワーカー","put実行する","重複検出により同一ファイルは1回だけ処理され、二重処理されない。重複分は失敗outcomeとして記録。",○,,
並列処理,例外分離,ワーカー隔離,1ワーカー失敗,異常系,同値分割,"複数ファイル中1件で例外 / 複数ワーカー","put実行する","1ワーカーの失敗が他ワーカーを止めず、残りは継続処理される。",○,,
並列処理,完了通知,コールバック例外,集計影響,異常系,エラー推測,"完了コールバックが例外を投げる状況","put実行する","コールバック例外をcritical errorとして計上し、終了コード1の対象にする（握りつぶさない）。",○,,
並列処理,接続再利用,プール,接続使い回し,正常系,同値分割,"Concurrency=1 / 複数ファイル（例6件）","put実行する","接続生成は1回だけで、以降はプールから再利用される（接続確立コスト削減）。",○,,
並列処理,接続再利用,壊れた接続,破棄再生成,異常系,状態遷移,"最初の接続が操作中に接続断（壊れる）/ MaxAttempts>=1","put実行する","壊れた接続は再利用せず破棄し、新しい接続を張り直してリトライで成功する。",○,,
並列処理,接続再利用,同時使用なし,高並列,正常系,同値分割,"Concurrency=8 / 多数ファイル（例50件）","put実行する","全ファイルが転送され、同一接続が同時に使われない。接続生成数は並列数を超えない（接続枯渇/過剰生成なし）。",○,,"★並列の正しさ（同時使用ゼロ）"
並列処理,宛先別並列,個別Concurrency,宛先ごと並列数,正常系,デシジョンテーブル,"primary Concurrency=1 / 追加宛先Concurrency=2 / 複数ファイル","put実行する","各宛先がそれぞれのConcurrency上限で並列転送する（primaryは1並列、追加は2並列）。",○,,
並列処理,宛先別投入,非結合,詰まり非伝播,正常系,同値分割,"複数宛先 / 片方の宛先が応答停止（詰まり）/ チャネル容量超のファイル数","put実行する","詰まった宛先が他の健全な宛先への投入を止めない。健全な宛先は全件完了できる（宛先間のスループットが結合しない）。",○,,"★1宛先の不調が全体を律速しない"
ファンアウト,複数配信,全宛先成功,2宛先成功,正常系,同値分割,"primary + 追加宛先1 / 全宛先正常 / DeleteAfterVerify=true","put実行する","1ファイルが全宛先へ配信成功する。全宛先成功時は配信マーカーを作らず、ローカルファイルを削除する。終了コード0。",○,,"全成功時は追加コストゼロ"
ファンアウト,複数配信,全宛先成功,3宛先成功,正常系,境界値分析,"primary + 追加宛先2（計3宛先）/ 全宛先正常","put実行する","3宛先すべてへ配信成功し、ローカル削除。マーカーは作られない。",○,,"宛先数3の境界"
ファンアウト,複数配信,内容整合,並行多宛先,正常系,ユースケース,"24ファイル / 3宛先 / 宛先別Concurrency 4・3・2","put実行する","各宛先が全ファイルを内容を取り違えず（割れず）・重複なしで1回ずつ受け取る。全成功でローカル削除。",○,,"★並行ファンアウトの内容整合"
ファンアウト,END連携,順序保証,データ先行(宛先別),正常系,同値分割,"TransferEndFiles=true / data.txtとdata.txt.END / 複数宛先","put実行する","各宛先で『データ→END』の順に転送される（ENDは対応データ転送後）。",○,,
ファンアウト,宛先別設定,個別認証,FTPとSFTP混在,正常系,デシジョンテーブル,"primaryはSFTP / 追加宛先はFTP","put実行する","各宛先がそれぞれの方式・認証で接続して配信する。",,,"実機確認"
ファンアウト,方向誤用,get方向で追加宛先,無視,異常系,同値分割,"Direction=get / AdditionalDestinationsを設定","get実行する","追加宛先はアップロード専用のため無視され、警告を表示する。",○,,
ファンアウト,宛先検証,必須項目欠落,Host欠落,異常系,同値分割,"追加宛先のHostを空にする","アプリを起動する","起動時バリデーションで該当宛先のHost必須エラー。終了コード1。",○,,"追加宛先もroot同様に検証"
ファンアウト,宛先検証,範囲外,追加宛先Concurrency範囲外,異常系,境界値分析,"追加宛先のConcurrency=0 または 17","アプリを起動する","追加宛先のConcurrency範囲（1-16）違反として起動時エラー。終了コード1。",○,,"ネスト要素も範囲検証"
ファンアウト,宛先重複,同一宛先警告,同一host/port/path,正常系,同値分割,"複数宛先が同一のmode/host/port/remote pathを指す","アプリを起動する","同時上書きやEND重複配信の恐れがあるとして起動時に警告（処理は継続）。",○,,
配信トラッキング,有効化,既定有効,複数宛先put,正常系,デシジョンテーブル,"複数宛先put（AdditionalDestinationsあり）/ 各宛先に一意なName","put実行する","宛先別配信トラッキングが常時有効になり、ログに『Per-destination delivery tracking enabled』と状態/リトライディレクトリが出力される。",○,,"複数宛先は常時ON（フラグ不問）"
配信トラッキング,有効化,単一宛先,明示有効,正常系,デシジョンテーブル,"単一宛先 / PerDestinationDeliveryTracking=true / Name設定","put実行する","単一宛先でもトラッキングが有効になる。",○,,"単一宛先はフラグで明示有効化"
配信トラッキング,有効化,単一宛先,既定無効,正常系,デシジョンテーブル,"単一宛先 / PerDestinationDeliveryTracking=false（既定）","put実行する","トラッキングは無効。従来どおり転送し、成功でローカル削除。マーカーは使わない。",○,,
配信トラッキング,Name検証,必須,Name未設定,異常系,デシジョンテーブル,"複数宛先put / いずれかの宛先にNameが無い","アプリを起動する","『各宛先に一意なNameが必須』として起動時エラー。終了コード1。転送しない。",○,,"マーカーキーにNameを使うため"
配信トラッキング,Name検証,一意,Name重複,異常系,デシジョンテーブル,"複数宛先put / 2つの宛先が同じName（大小無視）","アプリを起動する","Name重複として起動時エラー。終了コード1。",○,,
配信トラッキング,部分失敗,マーカー記録,1宛先失敗,異常系,状態遷移,"primary + 追加宛先 / 追加宛先だけ失敗 / DeleteAfterVerify=true","put実行する（Run1）","成功した宛先（primary）の配信マーカーが状態ディレクトリに記録され、対象ファイル（と関連END）はRetryDirectoryへ退避。失敗宛先のマーカーは無い。終了コード1。watch直下から対象ファイルは消える（retryへ移動）。",○,,"★ファイルは消えずretryへ退避"
配信トラッキング,選択再送,未配信のみ,再実行で復旧,正常系,状態遷移,"Run1で追加宛先が失敗した状態 / 今回は追加宛先が復旧","再度put実行する（Run2）","未配信の追加宛先だけに再送される。配信済みのprimaryへは再送されない（重複配信しない）。全宛先完了でローカル削除・マーカー掃除。終了コード0。",○,,"★未配信先だけ再送（重複配信防止）"
配信トラッキング,選択再送,2配信済1未配信,3宛先で1失敗,異常系,境界値分析,"3宛先 / Run1でbackup2だけ失敗（primaryとbackup1は成功）","put実行→backup2復旧後に再put","Run1で2宛先のマーカーが残りファイルはretryへ。Run2ではbackup2だけ再送され、配信済み2宛先には再送しない。完了でローカル削除。",○,,"配信済みが2宛先ある状態の選択再送"
配信トラッキング,選択再送,primary失敗,非対称ケース,異常系,状態遷移,"3宛先 / Run1でprimary（=Transfer自身）だけ失敗","put実行→primary復旧後に再put","Run1で追加2宛先のマーカーが残る。Run2ではprimaryだけ再送され、追加2宛先には再送しない。",○,,"primary自身の失敗も対称に扱う"
配信トラッキング,継続障害,長期ダウン,宛先が複数日ダウン,正常系,状態遷移,"追加宛先が何日もダウンし続ける","毎日put実行する","毎回、配信済み宛先には再送せず未配信宛先だけに再送を試み続ける。配信済み側へ重複配信が続かない。",,,"実機/運用（長期再現）"
配信トラッキング,上書き検出,指紋不一致,部分配信後に上書き,異常系,状態遷移,"Run1で部分配信（primaryのみ配信済）/ その後に同名で別内容に上書き","再put実行する","指紋（サイズ+更新時刻 もしくはハッシュ）が変わったため配信済み扱いを解除し、古いマーカーを破棄して全宛先へ再送する（古い内容のまま取りこぼさない）。",○,,"★静かなデータ欠落の防止"
配信トラッキング,指紋方式,sizetime限界,同サイズ同mtime上書き,異常系,境界値分析,"DeliverySignatureMode=sizetime / サイズも更新時刻も据え置きで内容だけ差替","再put実行する","sizetimeでは指紋が変わらず配信済みとみなし再送しない（既知の限界）。厳密検出が必要ならhashを使う。",,,"既知の限界。実機で再現確認"
配信トラッキング,指紋方式,hash厳密,内容変更検出,正常系,同値分割,"DeliverySignatureMode=hash / 内容を変更","再put実行する","ハッシュ指紋により内容変更を厳密に検出し、未配信扱いで再送する。",○,,
配信トラッキング,状態保存先,既定,StateDirectory未指定,正常系,同値分割,"StateDirectoryを空","複数宛先putで部分失敗を起こす","マーカーはLocalApplicationData/FtpTransferAgent/delivery-state/<watchパスのハッシュ>配下（watch外）に作られる。",○,,
配信トラッキング,状態保存先,watch配下除外,マーカー非転送,正常系,同値分割,"StateDirectoryをWatch.Path配下に置く / IncludeSubfolders=true","put実行する","状態ディレクトリ配下のマーカーは列挙から除外され、転送対象に混ざらない。",,,"実機確認（保険の除外動作）"
配信トラッキング,退避先,既定watch外,RetryDirectory未指定,正常系,同値分割,"RetryDirectoryを未指定/null / サブフォルダのファイルで部分失敗","put実行する","退避先はLocalApplicationData配下（watch外）。サブフォルダのファイルも元の相対パスを保ったままretry配下に退避され、次回は同じリモートパスへ再送できる。",○,,
配信トラッキング,退避先,相対指定,watch配下解決,正常系,同値分割,"RetryDirectoryに相対パス（例 retry）を指定","put実行する","Watch.Path配下のそのフォルダへ退避する。",○,,
配信トラッキング,退避先,無効化,空文字でwatch保持,正常系,デシジョンテーブル,"RetryDirectoryを空文字","複数宛先putで部分失敗を起こす","ファイル移動を無効化し、部分失敗ファイルはWatch.Pathにそのまま残る（退避しない）。",○,,
配信トラッキング,孤児掃除,retry手動削除,孤児マーカー除去,正常系,状態遷移,"部分失敗でretryへ退避済み / ユーザーがretry内のファイルを手動削除","再put実行する","対応する元ファイルが無いマーカー（孤児）を起動時走査で掃除し、無駄な再送を止める。",○,,
配信トラッキング,スナップショット,転送中変更,データ変更で内容割れ防止,異常系,状態遷移,"複数宛先 / EnableUploadSnapshot=true / 1宛先目の転送後に元データファイルを別内容へ上書き","put実行する","各宛先は列挙時に作った一時スナップショットを送るため、全宛先が同一内容を受信し宛先間で内容が割れない。元ファイルは変更されているのでローカル削除・retry退避をせず終了コード1で次回へ持ち越す。",○,,"★ファイルが消えない/内容が割れない（スナップショット有効時）"
配信トラッキング,スナップショット,END変更,END変更で内容割れ防止,異常系,状態遷移,"複数宛先 / EnableUploadSnapshot=true / 1宛先目の転送後に関連ENDを別内容へ上書き","put実行する","ENDもスナップショットから送られ全宛先で同一。END変更を検出しローカル削除・retry退避をせず終了コード1。",○,,"★END内容も割れない（スナップショット有効時）"
配信トラッキング,スナップショット,既定無効,転送中変更で保持(割れ許容),異常系,状態遷移,"複数宛先 / EnableUploadSnapshot=false（既定）/ 1宛先目の転送後に元データを別内容へ上書き","put実行する","スナップショットを作らずライブのソースを直接読むため、その回に限り宛先間で内容が割れ得る（許容したトレードオフ）。ただし転送後に変更を検出し、ローカル削除・retry退避をせず終了コード1で次回へ持ち越す（保持安全性は維持）。",○,,"既定はスナップショットなし。I/O削減と引き換えに一時的な内容割れを許容"
配信トラッキング,スナップショット,設定検証,非活性で有効化,正常系,デシジョンテーブル,"EnableUploadSnapshot=true / 単一宛先かつPerDestinationDeliveryTracking=false（トラッキング非活性）","アプリを起動する","スナップショットはトラッキング有効時のみ作用するため、無視される旨の警告を表示して継続する。",○,,"設定が効かないことの気付き支援"
配信トラッキング,完了前変更,既配信スキップ時,cleanup前に変更,異常系,状態遷移,"全宛先配信済みで送信スキップ予定 / cleanup直前に元ファイルを変更","再put実行する","変更を検出してローカル削除を行わずファイルを保持し、終了コード1で次回へ持ち越す（新内容として再評価）。",○,,"★ファイルが消えない"
配信トラッキング,保持運用,DeleteAfterVerify=false,全完了でローカル保持,正常系,デシジョンテーブル,"複数宛先 / DeleteAfterVerify=false / 全宛先成功","put実行する","全宛先成功でもローカルファイルを残す。全宛先分のマーカーを保持し、次回以降は送信をスキップする（再送しない）。",○,,
配信トラッキング,保持運用,retry復元,部分失敗復旧で復元,正常系,状態遷移,"DeleteAfterVerify=false / Run1部分失敗でretry退避 / Run2全宛先完了","put実行（Run1→Run2）","全宛先完了時に、retryへ退避していたファイルをWatch.Pathの元位置へ復元する（隠しフォルダに取り残さない）。マーカーは保持。",○,,
配信トラッキング,保持運用,復元時mtime保持,クロスボリューム,正常系,境界値分析,"DeleteAfterVerify=false / 既定の別ボリュームretry / sizetimeモード / 部分失敗→復旧","put実行（Run1→Run2）","retryからの復元でも元の最終更新時刻を保持し、sizetime指紋が変わらず以後の全再送が起きない。",○,,"退避と対称のmtime保持（修正済）"
